payment_id,subscription_id,user_id,paid_at,amount,currency,payment_method,status,billing_period_start,billing_period_end
P000001,S00001,U0098,2024-10-23 08:00:00,9.99,USD,bank_transfer,success,2024-10-23,2024-11-21
P000002,S00001,U0098,2024-11-22 22:00:00,9.99,USD,bank_transfer,success,2024-11-22,2024-12-21
P000003,S00001,U0098,2024-12-22 00:00:00,9.99,USD,bank_transfer,success,2024-12-22,2025-01-20
P000004,S00001,U0098,2025-01-21 05:00:00,9.99,USD,bank_transfer,success,2025-01-21,2025-02-19
P000005,S00001,U0098,2025-02-20 06:00:00,9.99,USD,bank_transfer,success,2025-02-20,2025-03-21
P000006,S00001,U0098,2025-03-22 20:00:00,9.99,USD,bank_transfer,success,2025-03-22,2025-04-20
P000007,S00001,U0098,2025-04-21 06:00:00,9.99,USD,bank_transfer,success,2025-04-21,2025-05-20
P000008,S00001,U0098,2025-05-21 13:00:00,9.99,USD,bank_transfer,success,2025-05-21,2025-06-19
P000009,S00001,U0098,2025-06-20 21:00:00,9.99,USD,bank_transfer,success,2025-06-20,2025-07-19
P000010,S00001,U0098,2025-07-20 04:00:00,9.99,USD,bank_transfer,success,2025-07-20,2025-08-18
P000011,S00001,U0098,2025-08-19 19:00:00,9.99,USD,bank_transfer,success,2025-08-19,2025-09-17
P000012,S00001,U0098,2025-09-18 07:00:00,9.99,USD,bank_transfer,success,2025-09-18,2025-10-17
P000013,S00001,U0098,2025-10-18 09:00:00,9.99,USD,bank_transfer,success,2025-10-18,2025-11-16
P000014,S00002,U0093,2024-06-14 22:00:00,9.99,USD,credit_card,success,2024-06-14,2024-07-13
P000015,S00002,U0093,2024-07-14 13:00:00,9.99,USD,credit_card,success,2024-07-14,2024-08-12
P000016,S00002,U0093,2024-08-13 11:00:00,9.99,USD,credit_card,success,2024-08-13,2024-09-11
P000017,S00002,U0093,2024-09-12 06:00:00,9.99,USD,credit_card,success,2024-09-12,2024-10-11
P000018,S00002,U0093,2024-10-12 21:00:00,9.99,USD,credit_card,success,2024-10-12,2024-11-10
P000019,S00002,U0093,2024-11-11 19:00:00,9.99,USD,credit_card,success,2024-11-11,2024-12-10
P000020,S00002,U0093,2024-12-11 03:00:00,9.99,USD,credit_card,success,2024-12-11,2025-01-09
P000021,S00002,U0093,2025-01-10 21:00:00,9.99,USD,credit_card,success,2025-01-10,2025-02-08
P000022,S00002,U0093,2025-02-09 11:00:00,9.99,USD,credit_card,refunded,2025-02-09,2025-03-10
P000023,S00002,U0093,2025-03-11 19:00:00,9.99,USD,credit_card,success,2025-03-11,2025-04-09
P000024,S00002,U0093,2025-04-10 09:00:00,9.99,USD,credit_card,success,2025-04-10,2025-05-09
P000025,S00002,U0093,2025-05-10 15:00:00,9.99,USD,credit_card,success,2025-05-10,2025-06-08
P000026,S00002,U0093,2025-06-09 08:00:00,9.99,USD,credit_card,success,2025-06-09,2025-07-08
P000027,S00002,U0093,2025-07-09 08:00:00,9.99,USD,credit_card,success,2025-07-09,2025-08-07
P000028,S00002,U0093,2025-08-08 22:00:00,9.99,USD,credit_card,success,2025-08-08,2025-09-06
P000029,S00002,U0093,2025-09-07 20:00:00,9.99,USD,credit_card,failed,2025-09-07,2025-10-06
P000030,S00003,U0195,2024-11-20 04:00:00,19.99,USD,bank_transfer,success,2024-11-20,2024-12-19
P000031,S00003,U0195,2024-12-20 07:00:00,19.99,USD,bank_transfer,success,2024-12-20,2025-01-18
P000032,S00003,U0195,2025-01-19 19:00:00,19.99,USD,bank_transfer,success,2025-01-19,2025-02-17
P000033,S00003,U0195,2025-02-18 10:00:00,19.99,USD,bank_transfer,success,2025-02-18,2025-03-19
P000034,S00003,U0195,2025-03-20 23:00:00,19.99,USD,bank_transfer,success,2025-03-20,2025-04-18
P000035,S00003,U0195,2025-04-19 15:00:00,19.99,USD,bank_transfer,success,2025-04-19,2025-05-18
P000036,S00003,U0195,2025-05-19 08:00:00,19.99,USD,bank_transfer,refunded,2025-05-19,2025-06-17
P000037,S00005,U0142,2024-12-11 12:00:00,19.99,USD,bank_transfer,failed,2024-12-11,2025-01-09
P000038,S00005,U0142,2025-01-10 01:00:00,19.99,USD,bank_transfer,success,2025-01-10,2025-02-08
P000039,S00005,U0142,2025-02-09 18:00:00,19.99,USD,bank_transfer,success,2025-02-09,2025-03-10
P000040,S00005,U0142,2025-03-11 10:00:00,19.99,USD,bank_transfer,success,2025-03-11,2025-04-09
P000041,S00005,U0142,2025-04-10 07:00:00,19.99,USD,bank_transfer,success,2025-04-10,2025-05-09
P000042,S00005,U0142,2025-05-10 20:00:00,19.99,USD,bank_transfer,success,2025-05-10,2025-06-08
P000043,S00005,U0142,2025-06-09 21:00:00,19.99,USD,bank_transfer,success,2025-06-09,2025-07-08
P000044,S00005,U0142,2025-07-09 09:00:00,19.99,USD,bank_transfer,success,2025-07-09,2025-08-07
P000045,S00005,U0142,2025-08-08 21:00:00,19.99,USD,bank_transfer,success,2025-08-08,2025-09-06
P000046,S00005,U0142,2025-09-07 05:00:00,19.99,USD,bank_transfer,success,2025-09-07,2025-10-06
P000047,S00005,U0142,2025-10-07 15:00:00,19.99,USD,bank_transfer,success,2025-10-07,2025-11-05
P000048,S00005,U0142,2025-11-06 08:00:00,19.99,USD,bank_transfer,success,2025-11-06,2025-12-05
P000049,S00005,U0142,2025-12-06 17:00:00,19.99,USD,bank_transfer,success,2025-12-06,2026-01-04
P000050,S00005,U0142,2026-01-05 05:00:00,19.99,USD,bank_transfer,success,2026-01-05,2026-02-03
P000051,S00005,U0142,2026-02-04 10:00:00,19.99,USD,bank_transfer,failed,2026-02-04,2026-03-05
P000052,S00006,U0051,2024-10-28 07:00:00,9.99,USD,paypal,success,2024-10-28,2024-11-26
P000053,S00006,U0051,2024-11-27 23:00:00,9.99,USD,paypal,success,2024-11-27,2024-12-26
P000054,S00006,U0051,2024-12-27 13:00:00,9.99,USD,paypal,success,2024-12-27,2025-01-25
P000055,S00006,U0051,2025-01-26 10:00:00,9.99,USD,paypal,success,2025-01-26,2025-02-24
P000056,S00006,U0051,2025-02-25 18:00:00,9.99,USD,paypal,success,2025-02-25,2025-03-26
P000057,S00006,U0051,2025-03-27 03:00:00,9.99,USD,paypal,success,2025-03-27,2025-04-25
P000058,S00006,U0051,2025-04-26 20:00:00,9.99,USD,paypal,success,2025-04-26,2025-05-25
P000059,S00006,U0051,2025-05-26 19:00:00,9.99,USD,paypal,success,2025-05-26,2025-06-24
P000060,S00006,U0051,2025-06-25 06:00:00,9.99,USD,paypal,success,2025-06-25,2025-07-24
P000061,S00006,U0051,2025-07-25 21:00:00,9.99,USD,paypal,success,2025-07-25,2025-08-23
P000062,S00006,U0051,2025-08-24 09:00:00,9.99,USD,paypal,success,2025-08-24,2025-09-22
P000063,S00006,U0051,2025-09-23 04:00:00,9.99,USD,paypal,success,2025-09-23,2025-10-22
P000064,S00006,U0051,2025-10-23 06:00:00,9.99,USD,paypal,success,2025-10-23,2025-11-21
P000065,S00006,U0051,2025-11-22 18:00:00,9.99,USD,paypal,success,2025-11-22,2025-12-21
P000066,S00006,U0051,2025-12-22 14:00:00,9.99,USD,paypal,success,2025-12-22,2026-01-20
P000067,S00006,U0051,2026-01-21 22:00:00,9.99,USD,paypal,success,2026-01-21,2026-02-19
P000068,S00006,U0051,2026-02-20 02:00:00,9.99,USD,paypal,success,2026-02-20,2026-03-21
P000069,S00006,U0051,2026-03-22 20:00:00,9.99,USD,paypal,success,2026-03-22,2026-04-20
P000070,S00006,U0051,2026-04-21 10:00:00,9.99,USD,paypal,refunded,2026-04-21,2026-05-20
P000071,S00006,U0051,2026-05-21 00:00:00,9.99,USD,paypal,success,2026-05-21,2026-06-19
P000072,S00007,U0141,2024-07-10 06:00:00,19.99,USD,bank_transfer,success,2024-07-10,2024-08-08
P000073,S00007,U0141,2024-08-09 05:00:00,19.99,USD,bank_transfer,success,2024-08-09,2024-09-07
P000074,S00007,U0141,2024-09-08 05:00:00,19.99,USD,bank_transfer,success,2024-09-08,2024-10-07
P000075,S00007,U0141,2024-10-08 02:00:00,19.99,USD,bank_transfer,success,2024-10-08,2024-11-06
P000076,S00007,U0141,2024-11-07 13:00:00,19.99,USD,bank_transfer,success,2024-11-07,2024-12-06
P000077,S00007,U0141,2024-12-07 12:00:00,19.99,USD,bank_transfer,success,2024-12-07,2025-01-05
P000078,S00007,U0141,2025-01-06 15:00:00,19.99,USD,bank_transfer,success,2025-01-06,2025-02-04
P000079,S00007,U0141,2025-02-05 01:00:00,19.99,USD,bank_transfer,success,2025-02-05,2025-03-06
P000080,S00007,U0141,2025-03-07 23:00:00,19.99,USD,bank_transfer,success,2025-03-07,2025-04-05
P000081,S00007,U0141,2025-04-06 00:00:00,19.99,USD,bank_transfer,success,2025-04-06,2025-05-05
P000082,S00007,U0141,2025-05-06 16:00:00,19.99,USD,bank_transfer,success,2025-05-06,2025-06-04
P000083,S00007,U0141,2025-06-05 21:00:00,19.99,USD,bank_transfer,success,2025-06-05,2025-07-04
P000084,S00008,U0186,2024-12-16 23:00:00,9.99,USD,paypal,success,2024-12-16,2025-01-14
P000085,S00008,U0186,2025-01-15 22:00:00,9.99,USD,paypal,success,2025-01-15,2025-02-13
P000086,S00008,U0186,2025-02-14 09:00:00,9.99,USD,paypal,success,2025-02-14,2025-03-15
P000087,S00008,U0186,2025-03-16 12:00:00,9.99,USD,paypal,success,2025-03-16,2025-04-14
P000088,S00008,U0186,2025-04-15 09:00:00,9.99,USD,paypal,success,2025-04-15,2025-05-14
P000089,S00008,U0186,2025-05-15 01:00:00,9.99,USD,paypal,success,2025-05-15,2025-06-13
P000090,S00008,U0186,2025-06-14 09:00:00,9.99,USD,paypal,success,2025-06-14,2025-07-13
P000091,S00008,U0186,2025-07-14 16:00:00,9.99,USD,paypal,success,2025-07-14,2025-08-12
P000092,S00008,U0186,2025-08-13 10:00:00,9.99,USD,paypal,success,2025-08-13,2025-09-11
P000093,S00008,U0186,2025-09-12 21:00:00,9.99,USD,paypal,success,2025-09-12,2025-10-11
P000094,S00008,U0186,2025-10-12 10:00:00,9.99,USD,paypal,refunded,2025-10-12,2025-11-10
P000095,S00008,U0186,2025-11-11 15:00:00,9.99,USD,paypal,refunded,2025-11-11,2025-12-10
P000096,S00008,U0186,2025-12-11 06:00:00,9.99,USD,paypal,success,2025-12-11,2026-01-09
P000097,S00008,U0186,2026-01-10 12:00:00,9.99,USD,paypal,success,2026-01-10,2026-02-08
P000098,S00008,U0186,2026-02-09 07:00:00,9.99,USD,paypal,success,2026-02-09,2026-03-10
P000099,S00008,U0186,2026-03-11 04:00:00,9.99,USD,paypal,success,2026-03-11,2026-04-09
P000100,S00010,U0139,2022-06-30 00:00:00,19.99,USD,credit_card,success,2022-06-30,2022-07-29
P000101,S00010,U0139,2022-07-30 05:00:00,19.99,USD,credit_card,success,2022-07-30,2022-08-28
P000102,S00010,U0139,2022-08-29 22:00:00,19.99,USD,credit_card,success,2022-08-29,2022-09-27
P000103,S00010,U0139,2022-09-28 01:00:00,19.99,USD,credit_card,success,2022-09-28,2022-10-27
P000104,S00010,U0139,2022-10-28 20:00:00,19.99,USD,credit_card,success,2022-10-28,2022-11-26
P000105,S00010,U0139,2022-11-27 17:00:00,19.99,USD,credit_card,success,2022-11-27,2022-12-26
P000106,S00010,U0139,2022-12-27 19:00:00,19.99,USD,credit_card,success,2022-12-27,2023-01-25
P000107,S00010,U0139,2023-01-26 21:00:00,19.99,USD,credit_card,refunded,2023-01-26,2023-02-24
P000108,S00010,U0139,2023-02-25 00:00:00,19.99,USD,credit_card,success,2023-02-25,2023-03-26
P000109,S00010,U0139,2023-03-27 03:00:00,19.99,USD,credit_card,success,2023-03-27,2023-04-25
P000110,S00010,U0139,2023-04-26 12:00:00,19.99,USD,credit_card,success,2023-04-26,2023-05-25
P000111,S00010,U0139,2023-05-26 08:00:00,19.99,USD,credit_card,success,2023-05-26,2023-06-24
P000112,S00010,U0139,2023-06-25 04:00:00,19.99,USD,credit_card,success,2023-06-25,2023-07-24
P000113,S00010,U0139,2023-07-25 21:00:00,19.99,USD,credit_card,success,2023-07-25,2023-08-23
P000114,S00010,U0139,2023-08-24 09:00:00,19.99,USD,credit_card,success,2023-08-24,2023-09-22
P000115,S00010,U0139,2023-09-23 03:00:00,19.99,USD,credit_card,success,2023-09-23,2023-10-22
P000116,S00010,U0139,2023-10-23 08:00:00,19.99,USD,credit_card,success,2023-10-23,2023-11-21
P000117,S00010,U0139,2023-11-22 22:00:00,19.99,USD,credit_card,success,2023-11-22,2023-12-21
P000118,S00012,U0018,2024-09-20 03:00:00,19.99,USD,google_pay,success,2024-09-20,2024-10-19
P000119,S00012,U0018,2024-10-20 19:00:00,19.99,USD,google_pay,success,2024-10-20,2024-11-18
P000120,S00012,U0018,2024-11-19 03:00:00,19.99,USD,google_pay,success,2024-11-19,2024-12-18
P000121,S00012,U0018,2024-12-19 15:00:00,19.99,USD,google_pay,success,2024-12-19,2025-01-17
P000122,S00012,U0018,2025-01-18 06:00:00,19.99,USD,google_pay,success,2025-01-18,2025-02-16
P000123,S00012,U0018,2025-02-17 16:00:00,19.99,USD,google_pay,success,2025-02-17,2025-03-18
P000124,S00012,U0018,2025-03-19 11:00:00,19.99,USD,google_pay,refunded,2025-03-19,2025-04-17
P000125,S00012,U0018,2025-04-18 09:00:00,19.99,USD,google_pay,success,2025-04-18,2025-05-17
P000126,S00015,U0136,2023-12-18 17:00:00,19.99,USD,google_pay,success,2023-12-18,2024-01-16
P000127,S00015,U0136,2024-01-17 06:00:00,19.99,USD,google_pay,success,2024-01-17,2024-02-15
P000128,S00015,U0136,2024-02-16 15:00:00,19.99,USD,google_pay,success,2024-02-16,2024-03-16
P000129,S00015,U0136,2024-03-17 00:00:00,19.99,USD,google_pay,success,2024-03-17,2024-04-15
P000130,S00015,U0136,2024-04-16 02:00:00,19.99,USD,google_pay,success,2024-04-16,2024-05-15
P000131,S00015,U0136,2024-05-16 18:00:00,19.99,USD,google_pay,failed,2024-05-16,2024-06-14
P000132,S00015,U0136,2024-06-15 04:00:00,19.99,USD,google_pay,success,2024-06-15,2024-07-14
P000133,S00015,U0136,2024-07-15 16:00:00,19.99,USD,google_pay,failed,2024-07-15,2024-08-13
P000134,S00015,U0136,2024-08-14 23:00:00,19.99,USD,google_pay,success,2024-08-14,2024-09-12
P000135,S00015,U0136,2024-09-13 08:00:00,19.99,USD,google_pay,success,2024-09-13,2024-10-12
P000136,S00017,U0050,2022-02-12 14:00:00,9.99,USD,apple_pay,success,2022-02-12,2022-03-13
P000137,S00017,U0050,2022-03-14 09:00:00,9.99,USD,apple_pay,refunded,2022-03-14,2022-04-12
P000138,S00017,U0050,2022-04-13 01:00:00,9.99,USD,apple_pay,success,2022-04-13,2022-05-12
P000139,S00017,U0050,2022-05-13 05:00:00,9.99,USD,apple_pay,success,2022-05-13,2022-06-11
P000140,S00017,U0050,2022-06-12 09:00:00,9.99,USD,apple_pay,success,2022-06-12,2022-07-11
P000141,S00017,U0050,2022-07-12 21:00:00,9.99,USD,apple_pay,success,2022-07-12,2022-08-10
P000142,S00017,U0050,2022-08-11 23:00:00,9.99,USD,apple_pay,success,2022-08-11,2022-09-09
P000143,S00017,U0050,2022-09-10 01:00:00,9.99,USD,apple_pay,success,2022-09-10,2022-10-09
P000144,S00017,U0050,2022-10-10 04:00:00,9.99,USD,apple_pay,success,2022-10-10,2022-11-08
P000145,S00017,U0050,2022-11-09 05:00:00,9.99,USD,apple_pay,success,2022-11-09,2022-12-08
P000146,S00017,U0050,2022-12-09 14:00:00,9.99,USD,apple_pay,success,2022-12-09,2023-01-07
P000147,S00017,U0050,2023-01-08 08:00:00,9.99,USD,apple_pay,failed,2023-01-08,2023-02-06
P000148,S00017,U0050,2023-02-07 02:00:00,9.99,USD,apple_pay,success,2023-02-07,2023-03-08
P000149,S00018,U0096,2024-08-20 10:00:00,19.99,USD,paypal,success,2024-08-20,2024-09-18
P000150,S00018,U0096,2024-09-19 12:00:00,19.99,USD,paypal,success,2024-09-19,2024-10-18
P000151,S00018,U0096,2024-10-19 14:00:00,19.99,USD,paypal,success,2024-10-19,2024-11-17
P000152,S00018,U0096,2024-11-18 12:00:00,19.99,USD,paypal,success,2024-11-18,2024-12-17
P000153,S00018,U0096,2024-12-18 15:00:00,19.99,USD,paypal,success,2024-12-18,2025-01-16
P000154,S00018,U0096,2025-01-17 20:00:00,19.99,USD,paypal,success,2025-01-17,2025-02-15
P000155,S00018,U0096,2025-02-16 05:00:00,19.99,USD,paypal,success,2025-02-16,2025-03-17
P000156,S00018,U0096,2025-03-18 22:00:00,19.99,USD,paypal,success,2025-03-18,2025-04-16
P000157,S00018,U0096,2025-04-17 05:00:00,19.99,USD,paypal,success,2025-04-17,2025-05-16
P000158,S00018,U0096,2025-05-17 18:00:00,19.99,USD,paypal,success,2025-05-17,2025-06-15
P000159,S00018,U0096,2025-06-16 18:00:00,19.99,USD,paypal,success,2025-06-16,2025-07-15
P000160,S00018,U0096,2025-07-16 05:00:00,19.99,USD,paypal,success,2025-07-16,2025-08-14
P000161,S00018,U0096,2025-08-15 11:00:00,19.99,USD,paypal,success,2025-08-15,2025-09-13
