session_id,user_id,book_id,started_at,ended_at,pages_read,device_type,completion_pct
SS000001,U0192,B0063,2024-05-21 00:00:00,2024-05-21 00:10:00,32,tablet,7.4
SS000002,U0024,B0041,2023-05-17 00:00:00,2023-05-17 01:21:00,592,e-reader,87.0
SS000003,U0111,B0047,2023-10-07 00:00:00,2023-10-07 02:53:00,216,tablet,88.8
SS000004,U0108,B0018,2021-04-28 00:00:00,2021-04-28 00:33:00,109,mobile,58.0
SS000005,U0135,B0016,2022-12-04 00:00:00,2022-12-04 02:55:00,351,desktop,83.2
SS000006,U0141,B0033,2022-10-13 00:00:00,2022-10-13 00:28:00,87,e-reader,25.3
SS000007,U0035,B0041,2021-11-05 00:00:00,2021-11-05 02:34:00,505,tablet,74.2
SS000008,U0200,B0031,2025-03-30 00:00:00,2025-03-30 01:53:00,219,tablet,23.4
SS000009,U0031,B0023,2021-03-14 00:00:00,2021-03-14 01:15:00,336,e-reader,45.1
SS000010,U0071,B0076,2020-04-24 00:00:00,2020-04-24 02:10:00,356,tablet,54.3
SS000011,U0187,B0015,2021-10-10 00:00:00,2021-10-10 02:24:00,401,tablet,43.5
SS000012,U0182,B0032,2021-07-22 00:00:00,2021-07-22 00:42:00,327,mobile,37.6
SS000013,U0191,B0048,2024-08-09 00:00:00,2024-08-09 01:23:00,23,desktop,4.1
SS000014,U0163,B0005,2024-09-19 00:00:00,2024-09-19 02:54:00,717,tablet,80.3
SS000015,U0015,B0031,2021-06-02 00:00:00,2021-06-02 02:26:00,372,e-reader,39.7
SS000016,U0171,B0047,2025-01-23 00:00:00,2025-01-23 03:00:00,34,desktop,14.0
SS000017,U0065,B0057,2022-03-06 00:00:00,2022-03-06 00:07:00,476,e-reader,91.2
SS000018,U0107,B0033,2021-09-08 00:00:00,2021-09-08 00:28:00,325,desktop,93.8
SS000019,U0065,B0039,2021-03-06 00:00:00,2021-03-06 00:46:00,733,e-reader,91.8
SS000020,U0169,B0041,2024-12-06 00:00:00,2024-12-06 02:49:00,284,mobile,41.8
SS000021,U0010,B0036,2024-11-09 00:00:00,2024-11-09 00:25:00,323,e-reader,82.7
SS000022,U0132,B0061,2024-02-18 00:00:00,2024-02-18 01:50:00,337,e-reader,92.8
SS000023,U0091,B0055,2024-11-30 00:00:00,2024-11-30 00:30:00,285,desktop,82.8
SS000024,U0186,B0034,2022-11-02 00:00:00,2022-11-02 00:21:00,192,mobile,36.5
SS000025,U0162,B0071,2024-02-19 00:00:00,2024-02-19 01:28:00,301,tablet,46.4
SS000026,U0009,B0007,2023-08-06 00:00:00,2023-08-06 02:49:00,144,mobile,20.0
SS000027,U0120,B0018,2020-01-07 00:00:00,2020-01-07 01:47:00,40,e-reader,21.6
SS000028,U0084,B0041,2023-03-25 00:00:00,2023-03-25 00:26:00,87,mobile,12.9
SS000029,U0068,B0067,2024-01-01 00:00:00,2024-01-01 02:51:00,433,desktop,76.8
SS000030,U0160,B0053,2024-06-11 00:00:00,2024-06-11 01:26:00,419,tablet,46.2
SS000031,U0196,B0018,2021-06-17 00:00:00,2021-06-17 00:49:00,131,e-reader,69.4
SS000032,U0089,B0037,2021-02-10 00:00:00,2021-02-10 00:26:00,101,e-reader,42.6
SS000033,U0051,B0051,2024-11-29 00:00:00,2024-11-29 01:41:00,636,desktop,94.6
SS000034,U0153,B0029,2020-02-12 00:00:00,2020-02-12 00:10:00,864,desktop,92.5
SS000035,U0173,B0079,2023-07-07 00:00:00,2023-07-07 01:03:00,519,e-reader,90.9
SS000036,U0125,B0026,2021-06-20 00:00:00,2021-06-20 00:48:00,38,e-reader,6.9
SS000037,U0166,B0055,2023-05-14 00:00:00,2023-05-14 01:11:00,57,e-reader,16.6
SS000038,U0101,B0022,2025-04-23 00:00:00,2025-04-23 02:30:00,25,e-reader,13.5
SS000039,U0191,B0068,2022-06-10 00:00:00,2022-06-10 02:01:00,721,desktop,83.1
