review_id,user_id,book_id,rating,review_text,created_at,is_verified_reader
R00001,U0116,B0007,2,Decent story but nothing groundbreaking.,2022-02-14 00:00:00,True
R00002,U0096,B0054,3,"Absolutely loved this book, could not put it down.",2021-10-19 00:00:00,True
R00003,U0002,B0007,5,The writing style is beautiful but the plot drags.,2024-02-13 00:00:00,True
R00004,U0077,B0078,4,Highly recommend to anyone who enjoys this genre.,2020-12-24 00:00:00,False
R00005,U0100,B0043,2,,2022-02-14 00:00:00,True
R00006,U0148,B0017,4,,2022-04-10 00:00:00,True
R00007,U0158,B0068,4,,2023-10-22 00:00:00,True
R00008,U0157,B0050,5,One of the best books I have read this year.,2020-11-26 00:00:00,True
R00009,U0162,B0016,4,,2020-08-24 00:00:00,False
R00010,U0054,B0058,2,The characters felt real and relatable.,2020-12-20 00:00:00,True
R00011,U0083,B0061,3,,2024-09-06 00:00:00,True
R00012,U0036,B0025,4,Highly recommend to anyone who enjoys this genre.,2022-10-05 00:00:00,False
R00013,U0150,B0045,4,,2022-06-20 00:00:00,True
R00014,U0118,B0009,4,The characters felt real and relatable.,2023-02-14 00:00:00,False
R00015,U0046,B0077,5,One of the best books I have read this year.,2021-12-14 00:00:00,True
R00016,U0151,B0008,5,The writing style is beautiful but the plot drags.,2024-11-13 00:00:00,False
R00017,U0108,B0064,4,The characters felt real and relatable.,2024-04-03 00:00:00,False
R00018,U0046,B0057,4,The characters felt real and relatable.,2024-08-16 00:00:00,False
R00019,U0109,B0078,3,"Absolutely loved this book, could not put it down.",2021-12-09 00:00:00,True
R00020,U0060,B0076,1,,2024-04-27 00:00:00,True
R00021,U0135,B0068,3,The writing style is beautiful but the plot drags.,2021-11-13 00:00:00,True
R00022,U0074,B0071,3,"Absolutely loved this book, could not put it down.",2021-01-30 00:00:00,True
R00023,U0080,B0006,3,Highly recommend to anyone who enjoys this genre.,2024-01-01 00:00:00,False
R00024,U0075,B0007,5,The writing style is beautiful but the plot drags.,2024-01-07 00:00:00,True
R00025,U0002,B0045,4,Decent story but nothing groundbreaking.,2023-12-18 00:00:00,True
R00026,U0188,B0071,5,A masterpiece of modern literature.,2021-11-23 00:00:00,False
R00027,U0081,B0042,4,"Absolutely loved this book, could not put it down.",2020-09-26 00:00:00,False
R00028,U0061,B0036,3,"Absolutely loved this book, could not put it down.",2021-05-28 00:00:00,True
R00029,U0157,B0014,5,A masterpiece of modern literature.,2024-06-19 00:00:00,False
R00030,U0071,B0078,3,Not my cup of tea but well written.,2023-07-04 00:00:00,True
R00031,U0074,B0027,4,,2023-09-05 00:00:00,True
R00032,U0121,B0030,5,Decent story but nothing groundbreaking.,2024-07-04 00:00:00,True
R00033,U0129,B0012,3,One of the best books I have read this year.,2023-03-13 00:00:00,False
R00034,U0050,B0025,4,,2023-08-11 00:00:00,True
R00035,U0078,B0003,3,One of the best books I have read this year.,2022-02-26 00:00:00,False
R00036,U0183,B0078,2,An engaging read but the ending felt rushed.,2021-06-20 00:00:00,True
R00037,U0123,B0052,5,One of the best books I have read this year.,2020-12-23 00:00:00,False
R00038,U0005,B0078,4,"Absolutely loved this book, could not put it down.",2020-12-22 00:00:00,True
R00039,U0005,B0006,3,An engaging read but the ending felt rushed.,2021-02-26 00:00:00,True
R00040,U0168,B0077,5,"Absolutely loved this book, could not put it down.",2020-06-28 00:00:00,False
R00041,U0031,B0070,5,,2024-07-17 00:00:00,True
R00042,U0039,B0062,4,Not my cup of tea but well written.,2024-09-03 00:00:00,False
R00043,U0084,B0043,3,"Absolutely loved this book, could not put it down.",2023-02-06 00:00:00,True
R00044,U0074,B0070,1,"Absolutely loved this book, could not put it down.",2021-02-08 00:00:00,True
R00045,U0081,B0014,5,A masterpiece of modern literature.,2023-04-14 00:00:00,True
R00046,U0062,B0004,4,One of the best books I have read this year.,2021-09-08 00:00:00,True
R00047,U0079,B0029,4,,2024-04-02 00:00:00,False
R00048,U0032,B0063,5,The writing style is beautiful but the plot drags.,2021-05-14 00:00:00,True
R00049,U0078,B0046,4,An engaging read but the ending felt rushed.,2020-11-04 00:00:00,True
R00050,U0024,B0006,3,A masterpiece of modern literature.,2023-10-22 00:00:00,True
R00051,U0161,B0024,4,,2024-03-23 00:00:00,False
R00052,U0167,B0037,5,Highly recommend to anyone who enjoys this genre.,2022-05-15 00:00:00,False
R00053,U0177,B0048,5,,2021-11-26 00:00:00,False
R00054,U0002,B0020,4,Decent story but nothing groundbreaking.,2024-10-10 00:00:00,True
R00055,U0121,B0062,2,Struggled to finish this one.,2024-12-25 00:00:00,True
R00056,U0194,B0036,2,One of the best books I have read this year.,2021-03-24 00:00:00,True
R00057,U0105,B0046,4,Not my cup of tea but well written.,2022-03-16 00:00:00,False
