subscription_id,user_id,plan_type,started_at,ended_at,price,payment_method,renewal_type,is_active,cancel_reason
S00001,U0098,basic,2024-10-23,2025-11-24,9.99,bank_transfer,manual,True,
S00002,U0093,basic,2024-06-14,2025-11-03,9.99,credit_card,manual,True,
S00003,U0195,premium,2024-11-20,2025-07-16,19.99,bank_transfer,manual,True,
S00004,U0106,free,2023-09-11,2024-03-08,0.0,,manual,False,too_expensive
S00005,U0142,premium,2024-12-11,2026-03-13,19.99,bank_transfer,auto,True,
S00006,U0051,basic,2024-10-28,2026-07-03,9.99,paypal,manual,True,
S00007,U0141,premium,2024-07-10,2025-07-20,19.99,bank_transfer,manual,True,
S00008,U0186,basic,2024-12-16,2026-05-01,9.99,paypal,manual,True,
S00009,U0044,free,2024-05-27,2025-11-08,0.0,,auto,True,
S00010,U0139,premium,2022-06-30,2024-01-17,19.99,credit_card,auto,False,too_expensive
S00011,U0196,free,2024-06-03,2026-04-09,0.0,,auto,True,
S00012,U0018,premium,2024-09-20,2025-05-31,19.99,google_pay,manual,True,
S00013,U0096,free,2024-09-13,2026-08-19,0.0,,manual,True,
S00014,U0005,free,2023-11-01,2025-01-25,0.0,,auto,False,too_expensive
S00015,U0136,premium,2023-12-18,2024-11-05,19.99,google_pay,manual,False,too_expensive
S00016,U0046,free,2023-07-24,2025-02-09,0.0,,auto,False,not_enough_content
S00017,U0050,basic,2022-02-12,2023-03-11,9.99,apple_pay,auto,False,switching_service
S00018,U0096,premium,2024-08-20,2026-04-20,19.99,paypal,auto,True,
S00019,U0077,premium,2022-04-10,2024-03-09,19.99,credit_card,manual,False,too_expensive
S00020,U0098,basic,2024-04-29,2024-07-25,9.99,paypal,auto,False,too_expensive
S00021,U0128,premium,2025-01-01,2026-01-05,19.99,google_pay,auto,True,
S00022,U0136,premium,2022-03-31,2022-12-02,19.99,apple_pay,manual,False,
S00023,U0012,premium,2024-09-18,2025-08-01,19.99,google_pay,auto,True,
S00024,U0046,premium,2024-03-04,2024-04-19,19.99,google_pay,auto,False,not_enough_content
S00025,U0193,premium,2023-07-24,2023-11-09,19.99,paypal,auto,False,switching_service
S00026,U0146,premium,2024-12-24,2026-12-17,19.99,google_pay,manual,True,
S00027,U0099,premium,2023-03-18,2023-07-06,19.99,bank_transfer,auto,False,
S00028,U0026,basic,2023-09-15,2024-09-27,9.99,google_pay,manual,False,
S00029,U0199,basic,2024-12-11,2026-04-16,9.99,apple_pay,auto,True,
S00030,U0092,basic,2025-02-21,2026-06-08,9.99,paypal,manual,True,
S00031,U0022,premium,2024-04-28,2025-02-04,19.99,credit_card,manual,False,too_expensive
S00032,U0040,basic,2025-02-14,2026-04-18,9.99,bank_transfer,manual,True,
S00033,U0028,free,2024-08-13,2025-12-11,0.0,,manual,True,
S00034,U0195,basic,2023-10-16,2024-02-12,9.99,apple_pay,manual,False,not_enough_content
S00035,U0143,basic,2023-05-08,2023-09-20,9.99,credit_card,manual,False,too_expensive
S00036,U0142,free,2024-12-12,2025-12-09,0.0,,manual,True,
S00037,U0004,basic,2024-03-30,2024-07-24,9.99,paypal,auto,False,
S00038,U0176,basic,2023-12-21,2024-10-21,9.99,bank_transfer,manual,False,switching_service
S00039,U0038,free,2024-06-19,2025-04-27,0.0,,manual,False,technical_issues
S00040,U0124,premium,2023-12-24,2024-10-06,19.99,apple_pay,auto,False,not_enough_content
S00041,U0118,free,2023-11-29,2024-01-04,0.0,,manual,False,technical_issues
S00042,U0159,basic,2024-12-30,2026-01-01,9.99,apple_pay,manual,True,
S00043,U0111,premium,2022-10-06,2023-09-08,19.99,google_pay,auto,False,switching_service
S00044,U0123,basic,2024-07-04,2025-06-25,9.99,bank_transfer,manual,True,
S00045,U0148,premium,2024-11-08,2025-12-28,19.99,bank_transfer,manual,True,
S00046,U0094,free,2023-02-25,2024-11-22,0.0,,auto,False,
S00047,U0175,premium,2020-07-01,2021-11-15,19.99,apple_pay,manual,False,not_enough_content
S00048,U0178,free,2024-11-04,2026-10-24,0.0,,manual,True,
S00049,U0036,basic,2024-07-07,2025-04-21,9.99,apple_pay,manual,False,not_enough_content
S00050,U0019,basic,2024-01-02,2025-06-05,9.99,google_pay,manual,True,
S00051,U0137,basic,2024-12-09,2026-03-12,9.99,google_pay,auto,True,
S00052,U0093,premium,2024-11-22,2026-06-24,19.99,google_pay,auto,True,
S00053,U0028,premium,2024-09-06,2025-03-25,19.99,credit_card,manual,False,
S00054,U0193,basic,2023-09-28,2024-02-13,9.99,credit_card,manual,False,too_expensive
S00055,U0057,basic,2025-01-15,2026-05-16,9.99,bank_transfer,manual,True,
S00056,U0119,premium,2024-02-24,2025-08-19,19.99,paypal,manual,True,
S00057,U0007,basic,2024-01-17,2025-04-16,9.99,credit_card,auto,False,too_expensive
S00058,U0090,basic,2023-07-27,2024-03-24,9.99,apple_pay,manual,False,
S00059,U0122,free,2024-03-29,2025-08-04,0.0,,manual,True,
S00060,U0018,basic,2024-12-31,2025-05-27,9.99,credit_card,manual,True,
S00061,U0166,free,2024-12-09,2025-06-25,0.0,,auto,True,
S00062,U0133,free,2023-04-07,2024-04-09,0.0,,manual,False,
